Time(fs),HBQ_dmso
-2,-0.00207
-1.985,-1.70E-04
-1.97,-0.00135
-1.955,-7.05E-04
-1.94,-5.94E-04
-1.925,-4.87E-04
-1.91,-0.00159
-1.895,-0.00106
-1.88,-8.34E-04
-1.865,-6.41E-04
-1.85,-6.62E-05
-1.835,-0.00205
-1.82,-8.31E-04
-1.805,-2.47E-04
-1.79,-0.00145
-1.775,-0.00139
-1.76,-5.70E-04
-1.745,-0.00188
-1.73,-0.00146
-1.715,-8.06E-04
-1.7,-2.06E-04
-1.685,-9.90E-04
-1.67,-0.00132
-1.655,-0.00149
-1.64,-0.00202
-1.625,-2.90E-05
-1.61,-9.02E-04
-1.595,-0.00149
-1.58,-8.16E-04
-1.565,-0.00109
-1.55,-0.00116
-1.535,-0.00159
-1.52,-0.00196
-1.505,-3.83E-04
-1.49,-8.96E-04
-1.475,-2.34E-04
-1.46,-9.45E-04
-1.445,-0.00152
-1.43,2.60E-04
-1.415,-3.61E-04
-1.4,-0.00111
-1.385,-4.36E-04
-1.37,-0.00174
-1.355,-0.00197
-1.34,-0.00123
-1.325,-0.00162
-1.31,-0.00166
-1.295,-1.02E-04
-1.28,-0.00241
-1.265,-0.001
-1.25,-8.01E-04
-1.235,-0.00314
-1.22,-0.00256
-1.205,-9.57E-04
-1.19,-9.64E-04
-1.175,-0.00116
-1.16,-0.0019
-1.145,-0.00152
-1.13,-4.77E-04
-1.115,-0.00107
-1.1,-3.88E-04
-1.085,-0.00192
-1.07,-0.00108
-1.055,-9.13E-04
-1.04,-4.19E-04
-1.025,6.78E-04
-1.01,-0.00129
-0.995,-3.21E-04
-0.98,-4.34E-04
-0.965,-0.00117
-0.95,-0.00151
-0.935,-0.0016
-0.92,-0.00107
-0.905,-0.00138
-0.89,-0.00118
-0.875,-4.19E-04
-0.86,-8.20E-04
-0.845,-0.0016
-0.83,6.33E-04
-0.815,-0.00121
-0.8,-0.00104
-0.785,4.17E-04
-0.77,-1.01E-04
-0.755,-4.31E-04
-0.74,-0.00105
-0.725,-0.00115
-0.71,-0.00208
-0.695,4.73E-05
-0.68,-3.24E-04
-0.665,-8.56E-04
-0.65,-7.46E-04
-0.635,-0.00225
-0.62,-0.00217
-0.605,-0.00459
-0.59,-0.00513
-0.575,-0.00609
-0.56,-0.00541
-0.545,-0.00651
-0.53,-0.00406
-0.515,-0.00386
-0.5,-8.71E-04
-0.485,0.00184
-0.47,9.22E-04
-0.455,0.0041
-0.44,0.00391
-0.425,0.00284
-0.41,0.00217
-0.395,4.12E-04
-0.38,2.72E-04
-0.365,-0.00211
-0.35,-0.00347
-0.335,-0.00398
-0.32,-0.00734
-0.305,-0.00842
-0.29,-0.00859
-0.275,-0.00639
-0.26,-0.00314
-0.245,-0.00504
-0.23,-0.00427
-0.215,-0.01322
-0.2,-0.01959
-0.185,-0.02866
-0.17,-0.03394
-0.155,-0.03056
-0.14,-0.02541
-0.125,-0.01356
-0.11,-0.0037
-0.095,0.00759
-0.08,0.01441
-0.065,0.0201
-0.05,0.02036
-0.035,0.01738
-0.02,0.01116
-0.005,0.00665
0.01,0.00552
0.025,0.0056
0.04,0.00426
0.055,0.00716
0.07,0.00679
0.085,0.00816
0.1,0.00944
0.115,0.00822
0.13,0.00725
0.145,0.00624
0.16,0.00667
0.175,0.00705
0.19,0.00662
0.205,0.00713
0.22,0.00857
0.235,0.00844
0.25,0.00785
0.265,0.00506
0.28,0.00576
0.295,0.00408
0.31,0.00357
0.325,0.0053
0.34,0.00567
0.355,0.00801
0.37,0.00649
0.385,0.00899
0.4,0.00707
0.415,0.00435
0.43,0.00473
0.445,0.00511
0.46,0.0054
0.475,0.00763
0.49,0.00797
0.505,0.00857
0.52,0.00674
0.535,0.0051
