axis(cm-1),no excitation,,with_excitation,,diff
20906.37398,0,,0,,0
20914.43952,0,,0,,0
20922.50507,0,,0,,0
20930.57061,0,,0,,0
20938.63616,0,,0,,0
20946.7017,0,,0,,0
20954.76724,0,,0,,0
20962.83279,0,,0,,0
20970.89833,0,,0,,0
20978.96388,0,,0,,0
20987.02942,0,,0,,0
20995.09496,0,,0,,0
21003.16051,0,,0,,0
21011.22605,0,,0,,0
21019.2916,0,,0,,0
21027.35714,0,,0,,0
21035.42268,0,,0,,0
21043.48823,0,,0,,0
21051.55377,0,,0,,0
21059.61932,0,,0,,0
21067.68486,0,,0,,0
21075.7504,0,,0,,0
21083.81595,0,,0,,0
21091.88149,0,,0,,0
21099.94704,0,,0,,0
21108.01258,0,,0,,0
21116.07812,0,,0,,0
21124.14367,0,,0,,0
21132.20921,0,,0,,0
21140.27476,0,,0,,0
21148.3403,0,,0,,0
21156.40584,0,,0,,0
21164.47139,0,,0,,0
21172.53693,0,,0,,0
21180.60248,0,,0,,0
21188.66802,0,,0,,0
21196.73356,0,,0,,0
21204.79911,0,,0,,0
21212.86465,0,,0,,0
21220.9302,0,,0,,0
21228.99574,0,,0,,0
21237.06128,0,,0,,0
21245.12683,0,,0,,0
21253.19237,0,,0,,0
21261.25792,0,,0,,0
21269.32346,0,,0,,0
21277.389,0,,0,,0
21285.45455,0,,0,,0
21293.52009,0,,0,,0
21301.58564,0,,0,,0
21309.65118,0,,0,,0
21317.71672,0,,0,,0
21325.78227,0,,0,,0
21333.84781,0,,0,,0
21341.91336,0,,0.10988,,0.10988
21349.9789,0,,0.17793,,0.17793
21358.04444,0,,0.28414,,0.28414
21366.10999,0,,0.44752,,0.44752
21374.17553,0,,0.69514,,0.69514
21382.24108,0,,1.0649,,1.0649
21390.30662,0,,1.60888,,1.60888
21398.37216,0,,2.39728,,2.39728
21406.43771,0,,3.52284,,3.52284
21414.50325,0,,5.1056,,5.1056
21422.5688,0,,7.2976,,7.2976
21430.63434,0,,10.28708,,10.28708
21438.69988,0,,14.30158,,14.30158
21446.76543,0,,19.60899,,19.60899
21454.83097,0,,26.51587,,26.51587
21462.89652,0,,35.36191,,35.36191
21470.96206,0,,46.50984,,46.50984
21479.0276,0,,60.33001,,60.33001
21487.09315,0,,77.17937,,77.17937
21495.15869,0,,97.37522,,97.37522
21503.22424,0,,121.16439,,121.16439
21511.28978,0,,148.6897,,148.6897
21519.35532,0,,179.95591,,179.95591
21527.42087,0,,214.79823,,214.79823
21535.48641,0,,252.8568,,252.8568
21543.55196,0,,293.56069,,293.56069
21551.6175,0,,336.12488,,336.12488
21559.68304,0,,379.57291,,379.57291
21567.74859,0,,422.72939,,422.72939
21575.81413,0,,464.31399,,464.31399
21583.87968,0,,502.97278,,502.97278
21591.94522,0,,537.35643,,537.35643
21600.01076,0,,566.19811,,566.19811
21608.07631,0,,588.3915,,588.3915
21616.14185,0,,603.06239,,603.06239
21624.2074,0,,609.62774,,609.62774
21632.27294,0,,607.83564,,607.83564
21640.33848,0,,597.78506,,597.78506
21648.40403,0,,579.92027,,579.92027
21656.46957,0,,555.00273,,555.00273
21664.53512,0,,524.06224,,524.06224
21672.60066,0,,488.33186,,488.33186
21680.6662,0,,449.17251,,449.17251
21688.73175,0,,407.99355,,407.99355
21696.79729,0,,366.17582,,366.17582
21704.86284,0,,325.00282,,325.00282
21712.92838,0,,285.64778,,285.64778
21720.99392,0,,248.98294,,248.98294
21729.05947,0,,215.75325,,215.75325
21737.12501,0,,186.44909,,186.44909
21745.19056,0,,161.34422,,161.34422
21753.2561,0,,140.49934,,140.49934
21761.32164,0,,123.80912,,123.80912
21769.38719,0,,111.02489,,111.02489
21777.45273,0,,101.79396,,101.79396
21785.51828,0,,95.72329,,95.72329
21793.58382,0,,92.32957,,92.32957
21801.64936,0,,91.18734,,91.18734
21809.71491,0,,91.8904,,91.8904
21817.78045,0,,94.09205,,94.09205
21825.846,0,,97.52408,,97.52408
21833.91154,0,,102.01254,,102.01254
21841.97708,0,,107.4737,,107.4737
21850.04263,0,,113.9273,,113.9273
21858.10817,0,,121.47367,,121.47367
21866.17372,0,,130.28944,,130.28944
21874.23926,0,,140.60683,,140.60683
21882.3048,0,,152.66133,,152.66133
21890.37035,0,,166.69463,,166.69463
21898.43589,0,,182.91147,,182.91147
21906.50144,0,,201.41591,,201.41591
21914.56698,0,,222.14272,,222.14272
21922.63252,0,,245.19016,,245.19016
21930.69807,0,,270.17181,,270.17181
21938.76361,0,,296.70639,,296.70639
21946.82916,0,,324.25245,,324.25245
21954.8947,0,,352.17062,,352.17062
21962.96024,0,,379.7291,,379.7291
21971.02579,0,,406.14769,,406.14769
21979.09133,0,,430.64291,,430.64291
21987.15688,0,,452.47424,,452.47424
21995.22242,0,,470.98891,,470.98891
22003.28796,0,,485.72436,,485.72436
22011.35351,0,,496.22976,,496.22976
22019.41905,0,,502.35827,,502.35827
22027.4846,0,,504.12027,,504.12027
22035.55014,0,,501.7106,,501.7106
22043.61568,0,,495.49539,,495.49539
22051.68123,0,,486.00888,,486.00888
22059.74677,0,,473.84635,,473.84635
22067.81232,0,,459.72843,,459.72843
22075.87786,0,,444.40395,,444.40395
22083.9434,0,,428.62641,,428.62641
22092.00895,0,,413.13843,,413.13843
22100.07449,0,,398.59968,,398.59968
22108.14004,0,,385.62486,,385.62486
22116.20558,0,,374.74404,,374.74404
22124.27112,0,,366.39686,,366.39686
22132.33667,0,,360.92223,,360.92223
22140.40221,0,,358.62805,,358.62805
22148.46776,0,,359.68802,,359.68802
22156.5333,0,,364.23355,,364.23355
22164.59884,0,,372.31368,,372.31368
22172.66439,0,,383.9295,,383.9295
22180.72993,0,,398.99244,,398.99244
22188.79548,0,,417.35318,,417.35318
22196.86102,0,,438.76546,,438.76546
22204.92656,0,,462.89474,,462.89474
22212.99211,0,,489.29616,,489.29616
22221.05765,0,,517.41809,,517.41809
22229.1232,0,,546.6671,,546.6671
22237.18874,0,,576.19564,,576.19564
22245.25428,0,,605.21562,,605.21562
22253.31983,0,,632.85854,,632.85854
22261.38537,0,,658.23686,,658.23686
22269.45092,0,,680.51149,,680.51149
22277.51646,0,,698.92605,,698.92605
22285.582,0,,712.77276,,712.77276
22293.64755,0,,721.77026,,721.77026
22301.71309,0,,725.55841,,725.55841
22309.77864,0,,724.12456,,724.12456
22317.84418,0,,717.67351,,717.67351
22325.90972,0,,706.65184,,706.65184
22333.97527,0,,691.70365,,691.70365
22342.04081,0,,673.64951,,673.64951
22350.10636,0,,653.43337,,653.43337
22358.1719,0,,632.06075,,632.06075
22366.23744,0,,610.63128,,610.63128
22374.30299,0,,590.13202,,590.13202
22382.36853,0,,571.53235,,571.53235
22390.43408,0,,555.60695,,555.60695
22398.49962,0,,543.02305,,543.02305
22406.56516,0,,534.2485,,534.2485
22414.63071,0,,529.52031,,529.52031
22422.69625,0,,528.87921,,528.87921
22430.7618,0,,532.12359,,532.12359
22438.82734,0,,538.86462,,538.86462
22446.89288,0,,548.53848,,548.53848
22454.95843,0,,560.41947,,560.41947
22463.02397,0,,573.68058,,573.68058
22471.08952,0,,587.42789,,587.42789
22479.15506,0,,600.81471,,600.81471
22487.2206,0,,612.98195,,612.98195
22495.28615,0,,623.20292,,623.20292
22503.35169,0,,630.88798,,630.88798
22511.41724,0,,635.62751,,635.62751
22519.48278,0,,637.25545,,637.25545
22527.54832,0,,635.785,,635.785
22535.61387,0,,631.45777,,631.45777
22543.67941,0,,624.71838,,624.71838
22551.74496,0,,616.16769,,616.16769
22559.8105,0,,606.52325,,606.52325
22567.87604,0,,596.59332,,596.59332
22575.94159,0,,587.05515,,587.05515
22584.00713,0,,578.86922,,578.86922
22592.07268,0,,572.56188,,572.56188
22600.13822,0,,568.62159,,568.62159
22608.20376,0,,567.40688,,567.40688
22616.26931,0,,568.99824,,568.99824
22624.33485,0,,573.32713,,573.32713
22632.4004,0,,580.15911,,580.15911
22640.46594,0,,589.0207,,589.0207
22648.53148,0,,599.34155,,599.34155
22656.59703,0,,610.45541,,610.45541
22664.66257,0,,621.63594,,621.63594
22672.72812,0,,632.22658,,632.22658
22680.79366,0,,641.56101,,641.56101
22688.8592,0,,649.09522,,649.09522
22696.92475,0,,654.44508,,654.44508
22704.99029,0,,657.37337,,657.37337
22713.05584,0,,657.83574,,657.83574
22721.12138,0,,655.94605,,655.94605
22729.18692,0,,651.98891,,651.98891
22737.25247,0,,646.4288,,646.4288
22745.31801,0,,639.77204,,639.77204
22753.38356,0,,632.64429,,632.64429
22761.4491,0,,625.6684,,625.6684
22769.51464,0,,619.42662,,619.42662
22777.58019,0,,614.44642,,614.44642
22785.64573,0,,611.15869,,611.15869
22793.71128,0,,609.83756,,609.83756
22801.77682,0,,610.55217,,610.55217
22809.84236,0,,613.39789,,613.39789
22817.90791,0,,618.10375,,618.10375
22825.97345,0,,624.35042,,624.35042
22834.039,0,,631.70152,,631.70152
22842.10454,0,,639.64725,,639.64725
22850.17008,0,,647.63543,,647.63543
22858.23563,0,,655.13773,,655.13773
22866.30117,0,,661.65594,,661.65594
22874.36672,0,,666.75233,,666.75233
22882.43226,0,,670.11559,,670.11559
22890.4978,0,,671.55195,,671.55195
22898.56335,0,,670.99881,,670.99881
22906.62889,0,,668.51215,,668.51215
22914.69444,0,,664.26552,,664.26552
22922.75998,0,,658.54118,,658.54118
22930.82552,0,,651.67715,,651.67715
22938.89107,0,,644.07599,,644.07599
22946.95661,0,,636.1217,,636.1217
22955.02216,0,,628.18788,,628.18788
22963.0877,0,,620.67947,,620.67947
22971.15324,0,,613.85342,,613.85342
22979.21879,0,,607.91524,,607.91524
22987.28433,0,,603.0394,,603.0394
22995.34988,0,,599.25391,,599.25391
23003.41542,0,,596.60563,,596.60563
23011.48096,0,,594.98961,,594.98961
23019.54651,0,,594.26089,,594.26089
23027.61205,0,,594.33579,,594.33579
23035.6776,0,,595.003,,595.003
23043.74314,0,,596.08541,,596.08541
23051.80868,0,,597.42724,,597.42724
23059.87423,0,,598.88251,,598.88251
23067.93977,0,,600.33281,,600.33281
23076.00532,0,,601.71946,,601.71946
23084.07086,0,,602.99303,,602.99303
23092.1364,0,,604.15813,,604.15813
23100.20195,0,,605.25011,,605.25011
23108.26749,0,,606.34253,,606.34253
23116.33304,0,,607.52429,,607.52429
23124.39858,0,,608.89191,,608.89191
23132.46412,0,,610.54749,,610.54749
23140.52967,0,,612.55783,,612.55783
23148.59521,0,,615.01937,,615.01937
23156.66076,0,,617.92899,,617.92899
23164.7263,0,,621.26226,,621.26226
23172.79184,0,,624.9495,,624.9495
23180.85739,0,,628.84137,,628.84137
23188.92293,0,,632.81041,,632.81041
23196.98848,0,,636.60196,,636.60196
23205.05402,0,,639.99267,,639.99267
23213.11956,0,,642.72626,,642.72626
23221.18511,0,,644.5523,,644.5523
23229.25065,0,,645.26642,,645.26642
23237.3162,0,,644.69438,,644.69438
23245.38174,0,,642.72283,,642.72283
23253.44728,0,,639.32712,,639.32712
23261.51283,0,,634.55202,,634.55202
23269.57837,0,,628.49773,,628.49773
23277.64392,0,,621.35929,,621.35929
23285.70946,0,,613.34689,,613.34689
23293.775,0,,604.77148,,604.77148
23301.84055,0,,595.88652,,595.88652
23309.90609,0,,586.97101,,586.97101
23317.97164,0,,578.3077,,578.3077
23326.03718,0,,570.10337,,570.10337
23334.10272,0,,562.546,,562.546
23342.16827,0,,555.77451,,555.77451
23350.23381,0,,549.86323,,549.86323
23358.29936,0,,544.84035,,544.84035
23366.3649,0,,540.72445,,540.72445
23374.43044,0,,537.47736,,537.47736
23382.49599,0,,535.06405,,535.06405
23390.56153,0,,533.43109,,533.43109
23398.62708,0,,532.52744,,532.52744
23406.69262,0,,532.33862,,532.33862
23414.75816,0,,532.82352,,532.82352
23422.82371,0,,533.98567,,533.98567
23430.88925,0,,535.82396,,535.82396
23438.9548,0,,538.33658,,538.33658
23447.02034,0,,541.56334,,541.56334
23455.08588,0,,545.49424,,545.49424
23463.15143,0,,550.12773,,550.12773
23471.21697,0,,555.443,,555.443
23479.28252,0,,561.4004,,561.4004
23487.34806,0,,567.93049,,567.93049
23495.4136,0,,574.94447,,574.94447
23503.47915,0,,582.3261,,582.3261
23511.54469,0,,589.92116,,589.92116
23519.61024,0,,597.60008,,597.60008
23527.67578,0,,605.16085,,605.16085
23535.74132,0,,612.4447,,612.4447
23543.80687,0,,619.25477,,619.25477
23551.87241,0,,625.41852,,625.41852
23559.93796,0,,630.77444,,630.77444
23568.0035,0,,635.18338,,635.18338
23576.06904,0,,638.52491,,638.52491
23584.13459,0,,640.74112,,640.74112
23592.20013,0,,641.79163,,641.79163
23600.26568,0,,641.67784,,641.67784
23608.33122,0,,640.45419,,640.45419
23616.39676,0,,638.20819,,638.20819
23624.46231,0,,635.08235,,635.08235
23632.52785,0,,631.22011,,631.22011
23640.5934,0,,626.81241,,626.81241
