Freq_ax,HBQ,freq,dmso
0,934.71444,0,372.10284
2.15899,1063.97247,2.15899,221.14219
4.31798,2666.66747,4.31798,534.0655
6.47697,3169.96394,6.47697,871.54203
8.63596,2827.64376,8.63596,813.321
10.79495,2495.32604,10.79495,632.66834
12.95395,1661.67741,12.95395,661.34429
15.11294,1309.61443,15.11294,648.45665
17.27193,1233.68613,17.27193,614.86517
19.43092,1392.14841,19.43092,595.61685
21.58991,1007.43666,21.58991,567.39589
23.7489,825.29231,23.7489,619.31221
25.90789,1225.23027,25.90789,680.24078
28.06688,1538.95057,28.06688,684.38599
30.22587,1225.20306,30.22587,765.82663
32.38486,1546.4647,32.38486,799.47728
34.54385,1549.97914,34.54385,822.79225
36.70285,1444.98806,36.70285,923.09964
38.86184,1343.29988,38.86184,910.49215
41.02083,1288.91384,41.02083,780.94088
43.17982,1501.60377,43.17982,650.83911
45.33881,1822.1278,45.33881,615.59108
47.4978,1503.46877,47.4978,642.3735
49.65679,1219.07361,49.65679,642.38608
51.81578,1156.41698,51.81578,687.94902
53.97477,1043.93611,53.97477,707.87672
56.13376,1047.09743,56.13376,656.55535
58.29275,1538.93737,58.29275,610.70773
60.45175,1908.00034,60.45175,608.03305
62.61074,1466.23382,62.61074,696.72438
64.76973,1124.89558,64.76973,987.36462
66.92872,1270.24651,66.92872,1154.56037
69.08771,1721.2695,69.08771,998.35204
71.2467,1527.63503,71.2467,694.00144
73.40569,1129.25425,73.40569,620.16059
75.56468,1089.29409,75.56468,607.08996
77.72367,976.02817,77.72367,536.3719
79.88266,1207.94541,79.88266,609.7123
82.04165,964.84562,82.04165,697.40289
84.20065,987.36106,84.20065,675.2107
86.35964,936.15673,86.35964,654.63571
88.51863,747.20399,88.51863,655.38627
90.67762,733.75725,90.67762,653.59094
92.83661,754.0523,92.83661,726.35524
94.9956,785.95907,94.9956,746.46077
97.15459,971.50142,97.15459,723.48007
99.31358,1230.06937,99.31358,667.90302
101.47257,1106.76153,101.47257,611.10701
103.63156,742.38572,103.63156,639.67591
105.79055,813.76766,105.79055,805.44608
107.94955,854.00103,107.94955,824.79403
110.10854,817.76592,110.10854,691.18456
112.26753,793.32735,112.26753,623.69999
114.42652,755.57696,114.42652,734.111
116.58551,851.98,116.58551,862.07695
118.7445,1091.2869,118.7445,846.53127
120.90349,1138.57573,120.90349,671.06472
123.06248,1021.8664,123.06248,506.41747
125.22147,961.13175,125.22147,538.24368
127.38046,1115.86546,127.38046,661.70559
129.53945,1438.14616,129.53945,738.78165
131.69845,1455.84414,131.69845,702.4495
133.85744,1418.20356,133.85744,610.75269
136.01643,1993.59742,136.01643,564.64999
138.17542,1878.56096,138.17542,710.7529
140.33441,1273.72495,140.33441,842.54713
142.4934,1011.78139,142.4934,838.79854
144.65239,1237.98653,144.65239,745.28687
146.81138,1129.11607,146.81138,620.59192
148.97037,757.64375,148.97037,576.59597
151.12936,1149.11589,151.12936,578.42754
153.28835,744.58003,153.28835,598.85843
155.44735,1389.95527,155.44735,623.75999
157.60634,1271.38603,157.60634,667.58099
159.76533,850.13234,159.76533,689.42063
161.92432,1639.79773,161.92432,657.05582
164.08331,1292.19908,164.08331,593.20786
166.2423,929.03215,166.2423,571.52983
168.40129,1117.13217,168.40129,609.49361
170.56028,1078.91847,170.56028,612.60152
172.71927,1153.04497,172.71927,591.7675
174.87826,1061.55799,174.87826,605.20918
177.03725,785.91054,177.03725,598.16001
179.19625,852.22421,179.19625,568.38363
181.35524,683.41277,181.35524,608.42239
183.51423,896.22167,183.51423,706.20359
185.67322,1072.99087,185.67322,794.78056
187.83221,699.36599,187.83221,790.09325
189.9912,828.69021,189.9912,671.04768
192.15019,997.05724,192.15019,587.67201
194.30918,922.39186,194.30918,625.95787
196.46817,845.13333,196.46817,640.61683
198.62716,811.11763,198.62716,617.94327
200.78615,836.61994,200.78615,610.39097
202.94515,854.60674,202.94515,705.26851
205.10414,940.83223,205.10414,773.30217
207.26313,1129.13411,207.26313,760.12516
209.42212,1330.56438,209.42212,702.25623
211.58111,1209.37317,211.58111,669.68013
213.7401,888.9429,213.7401,665.79647
215.89909,1013.10107,215.89909,662.06369
218.05808,1071.25778,218.05808,647.75403
220.21707,997.28954,220.21707,691.3863
222.37606,1025.59135,222.37606,788.56985
224.53505,1167.23678,224.53505,776.39858
226.69405,1364.72476,226.69405,666.99171
228.85304,1445.15917,228.85304,715.66258
231.01203,1571.57846,231.01203,964.74614
233.17102,1667.65137,233.17102,1109.97731
235.33001,1864.5745,235.33001,963.21534
237.489,2366.18031,237.489,680.76841
239.64799,3078.23454,239.64799,611.72131
241.80698,4074.78286,241.80698,696.60401
243.96597,5235.07508,243.96597,661.41978
246.12496,6502.47075,246.12496,701.452
248.28395,7341.43553,248.28395,861.16989
250.44295,6567.25704,250.44295,838.17866
252.60194,4749.79077,252.60194,767.7217
254.76093,3175.04147,254.76093,925.41508
256.91992,2364.65026,256.91992,978.53047
259.07891,2084.8112,259.07891,914.83413
261.2379,2032.67068,261.2379,891.0876
263.39689,1780.83467,263.39689,919.51405
265.55588,1380.48431,265.55588,916.79457
267.71487,1150.62607,267.71487,1034.7602
269.87386,1058.90795,269.87386,1077.62072
272.03285,1137.1429,272.03285,966.09529
274.19185,1213.73334,274.19185,841.1748
276.35084,1143.86911,276.35084,716.81304
278.50983,1460.57737,278.50983,717.95977
280.66882,1688.04271,280.66882,812.45191
282.82781,1525.19817,282.82781,729.60685
284.9868,1355.40079,284.9868,632.53618
287.14579,1218.90646,287.14579,717.25142
289.30478,1050.86649,289.30478,697.66829
291.46377,1006.78635,291.46377,618.47234
293.62276,1106.15686,293.62276,614.76365
295.78175,985.32788,295.78175,681.8477
297.94075,990.30434,297.94075,851.05062
300.09974,1019.10915,300.09974,917.72551
