freq,intensity
2388.1653,0.12474
2388.4063,0.12609
2388.6472,0.12675
2388.8884,0.12613
2389.1294,0.12488
2389.3706,0.12434
2389.6116,0.1252
2389.8525,0.12687
2390.0938,0.12811
2390.3347,0.12823
2390.5757,0.12758
2390.8169,0.127
2391.0579,0.12706
2391.2991,0.12772
2391.54,0.12869
2391.781,0.12971
2392.0222,0.13054
2392.2632,0.13088
2392.5042,0.1306
2392.7454,0.13009
2392.9863,0.13011
2393.2275,0.13109
2393.4685,0.13259
2393.7095,0.13352
2393.9507,0.13327
2394.1917,0.13233
2394.4326,0.13183
2394.6738,0.13241
2394.9148,0.13362
2395.156,0.13448
2395.397,0.13447
2395.6379,0.13397
2395.8792,0.13369
2396.1201,0.1339
2396.3611,0.13426
2396.6023,0.13436
2396.8433,0.13425
2397.0845,0.13423
2397.3254,0.13446
2397.5664,0.13483
2397.8076,0.13523
2398.0486,0.13586
2398.2896,0.13689
2398.5308,0.13808
2398.7717,0.13882
2399.0129,0.13871
2399.2539,0.13811
2399.4949,0.13787
2399.7361,0.13845
2399.9771,0.13946
2400.218,0.14002
2400.4592,0.13972
2400.7002,0.13902
2400.9414,0.1388
2401.1824,0.13946
2401.4233,0.1407
2401.6646,0.14188
2401.9055,0.14262
2402.1465,0.14292
2402.3877,0.14294
2402.6287,0.14281
2402.8699,0.14275
2403.1108,0.14311
2403.3518,0.14406
2403.593,0.14529
2403.834,0.14609
2404.075,0.14603
2404.3162,0.14551
2404.5571,0.14546
2404.7983,0.14641
2405.0393,0.14788
2405.2803,0.14885
2405.5215,0.14875
2405.7625,0.14804
2406.0034,0.14773
2406.2446,0.14836
2406.4856,0.14954
2406.7268,0.15043
2406.9678,0.15064
2407.2087,0.15048
2407.45,0.1506
2407.6909,0.15128
2407.9319,0.15233
2408.1731,0.15336
2408.4141,0.15411
2408.6553,0.15448
2408.8962,0.15445
2409.1372,0.15414
2409.3784,0.15393
2409.6194,0.15428
2409.8604,0.15537
2410.1016,0.15681
2410.3425,0.15787
2410.5837,0.15819
2410.8247,0.1581
2411.0657,0.15829
2411.3069,0.15916
2411.5479,0.16042
2411.7888,0.16147
2412.03,0.16202
2412.271,0.16234
2412.5122,0.1629
2412.7532,0.16398
2412.9941,0.1654
2413.2354,0.16678
2413.4763,0.16785
2413.7173,0.16849
2413.9585,0.16877
2414.1995,0.16894
2414.4407,0.16938
2414.6816,0.1704
2414.9226,0.17193
2415.1638,0.17344
2415.4048,0.17432
2415.6458,0.17452
2415.887,0.1746
2416.1279,0.17531
2416.3691,0.17686
2416.6101,0.17868
2416.8511,0.18002
2417.0923,0.18061
2417.3333,0.18087
2417.5742,0.18147
2417.8154,0.18269
2418.0564,0.18427
2418.2976,0.1858
2418.5386,0.18705
2418.7795,0.1881
2419.0208,0.18908
2419.2617,0.19006
2419.5027,0.19105
2419.7439,0.19209
2419.9849,0.19314
2420.2261,0.19406
2420.467,0.19467
2420.708,0.19509
2420.9492,0.1957
2421.1902,0.19686
2421.4312,0.19841
2421.6724,0.19976
2421.9133,0.20033
2422.1545,0.2002
2422.3955,0.20007
2422.6365,0.20068
2422.8777,0.20214
2423.1187,0.20387
2423.3596,0.2052
2423.6008,0.20592
2423.8418,0.20632
2424.083,0.20681
2424.324,0.20753
2424.5649,0.20834
2424.8062,0.20908
2425.0471,0.20974
2425.2881,0.21035
2425.5293,0.21095
2425.7703,0.21152
2426.0115,0.21217
2426.2524,0.21304
2426.4934,0.21411
2426.7346,0.2151
2426.9756,0.21566
2427.2166,0.21579
2427.4578,0.21584
2427.6987,0.21627
2427.9399,0.21721
2428.1809,0.21835
2428.4219,0.21925
2428.6631,0.21972
2428.9041,0.21991
2429.145,0.22014
2429.3862,0.22057
2429.6272,0.22122
2429.8684,0.22199
2430.1094,0.22277
2430.3503,0.22343
2430.5916,0.22382
2430.8325,0.22396
2431.0735,0.22409
2431.3147,0.22449
2431.5557,0.22518
2431.7969,0.22583
2432.0378,0.22604
2432.2788,0.22583
2432.52,0.22565
2432.761,0.226
2433.002,0.22689
2433.2432,0.22771
2433.4841,0.22785
2433.7253,0.22723
2433.9663,0.22645
2434.2073,0.22627
2434.4485,0.22696
2434.6895,0.22818
2434.9304,0.2293
2435.1716,0.2299
2435.4126,0.22995
2435.6538,0.2297
2435.8948,0.22948
2436.1357,0.22948
2436.377,0.22971
2436.6179,0.23004
2436.8589,0.23021
2437.1001,0.23013
2437.3411,0.22993
2437.5823,0.22996
2437.8232,0.23045
2438.0642,0.2313
2438.3054,0.23209
2438.5464,0.23246
2438.7874,0.23241
2439.0286,0.23231
2439.2695,0.23248
2439.5107,0.23295
2439.7517,0.2335
2439.9927,0.23392
2440.2339,0.23426
2440.4749,0.2347
2440.7158,0.23539
2440.957,0.23625
2441.198,0.2371
2441.4392,0.2378
2441.6802,0.23836
2441.9211,0.23887
2442.1624,0.23941
2442.4033,0.24009
2442.6443,0.24095
2442.8855,0.242
2443.1265,0.24307
2443.3677,0.24399
2443.6086,0.24466
2443.8496,0.24519
2444.0908,0.24587
2444.3318,0.24687
2444.5728,0.24813
2444.814,0.24936
2445.0549,0.25031
2445.2961,0.2509
2445.5371,0.25129
2445.7781,0.25173
2446.0193,0.25244
2446.2603,0.25344
2446.5012,0.25455
2446.7424,0.25548
2446.9834,0.25604
2447.2246,0.25625
2447.4656,0.25647
2447.7065,0.25707
2447.9478,0.2582
2448.1887,0.25957
2448.4297,0.26068
2448.6709,0.26121
2448.9119,0.26129
2449.1531,0.26139
2449.394,0.26192
2449.635,0.26293
2449.8762,0.2641
2450.1172,0.26507
2450.3582,0.26572
2450.5994,0.26615
2450.8403,0.26658
2451.0815,0.26712
2451.3225,0.26775
2451.5635,0.26838
2451.8047,0.26893
2452.0457,0.26936
2452.2866,0.26969
2452.5278,0.27002
2452.7688,0.27042
2453.01,0.27091
2453.251,0.27135
2453.4919,0.27155
2453.7332,0.27144
2453.9741,0.27113
2454.2151,0.27084
2454.4563,0.27073
2454.6973,0.27077
2454.9385,0.27078
2455.1794,0.27063
2455.4204,0.27038
2455.6616,0.27022
2455.9026,0.27034
2456.1436,0.27074
2456.3848,0.27126
2456.6257,0.27168
2456.8669,0.27185
2457.1079,0.2718
2457.3489,0.27168
2457.5901,0.27166
2457.8311,0.27187
2458.072,0.27227
2458.3132,0.27273
2458.5542,0.2731
2458.7954,0.27339
2459.0364,0.27369
